feature_id,start_frame,used_num,score,stereo_error[3],track_error_per_frame[3],truth_error_per_frame[4]
1181,78,1,1121.4,0 0 0,,
1182,78,1,21028.4,0 0 0,,
1183,78,1,1.4891,0 0 0,,
1184,78,1,0.92952,0 0 0,,
1185,78,1,2.38193,0 0 0,,
1186,78,1,0.616299,0 0 0,,
1187,78,1,0.317887,0 0 0,,
1188,78,1,0.583823,0 0 0,,
1194,78,1,0.541658,0 0 0,,
1195,78,1,0.352794,0 0 0,,
1197,78,1,0.395853,0 0 0,,
1198,78,1,36847,0 0 0,,
1200,78,1,1.35615,0 0 0,,
1203,79,1,0.463657,0 0 0,,
1204,79,1,2.78199,0 0 0,,
1206,79,1,0.633141,0 0 0,,
1207,79,1,2.62954,0 0 0,,
1208,79,1,0.643348,0 0 0,,
1210,79,1,1.76841,0 0 0,,
1211,79,1,0.33231,0 0 0,,
1212,79,1,1.39502,0 0 0,,
1214,79,1,0.262307,0 0 0,,
1215,79,1,29868.3,0 0 0,,
1217,79,1,0.602688,0 0 0,,
1218,79,1,0.146631,0 0 0,,
1219,79,1,0.781732,0 0 0,,
1220,79,1,1.16294,0 0 0,,
1221,79,1,1.08971,0 0 0,,
1222,79,1,0.26315,0 0 0,,
1225,79,1,1.36045,0 0 0,,
1226,79,1,0.350269,0 0 0,,
1227,79,1,0.490581,0 0 0,,
1230,79,1,0.342625,0 0 0,,
1232,79,1,1.11363,0 0 0,,
1233,80,1,0.253822,0 0 0,,
1235,80,1,0.188638,0 0 0,,
1237,80,1,0.432735,0 0 0,,
1238,80,1,0.944863,0 0 0,,
1240,80,1,1.55567,0 0 0,,
1241,80,1,0.799452,0 0 0,,
1242,80,1,1.56225,0 0 0,,
1243,80,1,1.06293,0 0 0,,
1244,80,1,0.341548,0 0 0,,
1247,80,1,1.05166,0 0 0,,
1248,80,1,0.505063,0 0 0,,
1249,80,1,0.966852,0 0 0,,
1250,80,1,0.559351,0 0 0,,
1251,80,1,2.22861,0 0 0,,
1253,80,1,1.63288,0 0 0,,
1254,80,1,1.04906,0 0 0,,
1255,80,1,0.667454,0 0 0,,
1256,80,1,0.419985,0 0 0,,
1257,80,1,0.354308,0 0 0,,
1258,80,1,0.913649,0 0 0,,
1260,80,1,1.46343,0 0 0,,
1261,80,1,0.404361,0 0 0,,
1262,80,1,0.265731,0 0 0,,
1263,80,1,1.09828,0 0 0,,
1264,80,1,0.575818,0 0 0,,
1265,80,1,3.55096,0 0 0,,
1270,80,1,0.556179,0 0 0,,
1273,80,1,1.5498,0 0 0,,
1275,80,1,0.71434,0 0 0,,
1276,80,1,1.70049,0 0 0,,
1277,81,1,0.570618,0 0 0,,
1278,81,1,0.843296,0 0 0,,
1279,81,1,1.52363,0 0 0,,
1281,81,1,0.447526,0 0 0,,
1282,81,1,0.930756,0 0 0,,
1287,81,1,4244.42,0 0 0,,
1288,81,1,15821.6,0 0 0,,
1289,81,1,2.75519,0 0 0,,
1291,81,1,0.400931,0 0 0,,
1293,81,1,1.59531,0 0 0,,
1295,81,1,1.90893,0 0 0,,
1296,81,1,0.657472,0 0 0,,
1298,81,1,4335.67,0 0 0,,
1299,81,1,0.885883,0 0 0,,
1300,81,1,0.244096,0 0 0,,
1301,81,1,0.81948,0 0 0,,
1305,81,1,0.643007,0 0 0,,
1306,81,1,0.787887,0 0 0,,
1307,81,1,1.13019,0 0 0,,
1308,81,1,1.15647,0 0 0,,
1310,81,1,0.146097,0 0 0,,
1313,81,1,2.56628,0 0 0,,
1315,81,1,0.318328,0 0 0,,
1316,81,1,0.187609,0 0 0,,
1318,82,1,1.13263,0 0 0,,
1320,82,1,1.09185,0 0 0,,
1321,82,1,0.387175,0 0 0,,
1323,82,1,0.30502,0 0 0,,
1325,82,1,0.321332,0 0 0,,
1327,82,1,1.56545,0 0 0,,
1328,82,1,0.40235,0 0 0,,
1329,82,1,0.991428,0 0 0,,
1330,82,1,0.566329,0 0 0,,
1331,82,1,0.492501,0 0 0,,
1332,82,1,462016,0 0 0,,
1333,82,1,0.347326,0 0 0,,
1334,82,1,0.662305,0 0 0,,
1335,82,1,4.30016,0 0 0,,
1336,82,1,0.917042,0 0 0,,
1337,82,1,1.5688,0 0 0,,
1338,82,1,0.356094,0 0 0,,
1339,82,1,2.44041,0 0 0,,
1340,82,1,1.14398,0 0 0,,
1341,82,1,0.92174,0 0 0,,
1342,82,1,0.421536,0 0 0,,
1343,82,1,0.929403,0 0 0,,
1344,82,1,1.192,0 0 0,,
1345,82,1,0.203394,0 0 0,,
1346,82,1,0.288392,0 0 0,,
